2023-10-08 15:13:48.090 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper-Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zzyl.service.test.IoTDeviceTest], using SpringBootContextLoader
2023-10-08 15:13:53.038 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate-Finished Spring Data repository scanning in 60 ms. Found 0 Redis repository interfaces.
2023-10-08 15:13:55.046 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker-Bean 'org.activiti.spring.boot.ActivitiMethodSecurityAutoConfiguration$ActivitiMethodSecurityConfiguration' of type [org.activiti.spring.boot.ActivitiMethodSecurityAutoConfiguration$ActivitiMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$401ea496] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-08 15:13:55.688 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure-Init DruidDataSource
2023-10-08 15:13:56.068 [main] INFO  com.alibaba.druid.pool.DruidDataSource-{dataSource-1} inited
2023-10-08 15:13:59.048 [main] INFO  org.redisson.Version-Redisson 3.11.2
2023-10-08 15:14:01.055 [redisson-netty-2-7] INFO  org.redisson.connection.pool.MasterConnectionPool-24 connections initialized for 192.168.200.146/192.168.200.146:6379
2023-10-08 15:14:01.055 [redisson-netty-2-20] INFO  o.r.connection.pool.MasterPubSubConnectionPool-1 connections initialized for 192.168.200.146/192.168.200.146:6379
2023-10-08 15:14:03.358 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-Found 1 Process Engine Configurators in total:
2023-10-08 15:14:03.359 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-class org.activiti.spring.process.conf.ProcessExtensionsConfiguratorAutoConfiguration$$EnhancerBySpringCGLIB$$cd4a54bb (priority:10000)
2023-10-08 15:14:03.359 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-Executing beforeInit() of class org.activiti.spring.process.conf.ProcessExtensionsConfiguratorAutoConfiguration$$EnhancerBySpringCGLIB$$cd4a54bb (priority:10000)
2023-10-08 15:14:04.525 [main] INFO  o.a.engine.impl.cfg.ProcessEngineConfigurationImpl-Executing configure() of class org.activiti.spring.process.conf.ProcessExtensionsConfiguratorAutoConfiguration$$EnhancerBySpringCGLIB$$cd4a54bb (priority:10000)
2023-10-08 15:14:04.651 [main] INFO  org.activiti.engine.impl.ProcessEngineImpl-ProcessEngine default created
2023-10-08 15:14:04.652 [main] INFO  o.a.e.impl.asyncexecutor.DefaultAsyncJobExecutor-Starting up the default async job executor [org.activiti.spring.SpringAsyncExecutor].
2023-10-08 15:14:04.653 [Thread-2] INFO  o.a.e.i.asyncexecutor.AcquireAsyncJobsDueRunnable-{} starting to acquire async jobs due
2023-10-08 15:14:04.653 [Thread-3] INFO  o.a.e.impl.asyncexecutor.AcquireTimerJobsRunnable-{} starting to acquire async jobs due
2023-10-08 15:14:04.653 [Thread-4] INFO  o.a.e.impl.asyncexecutor.ResetExpiredJobsRunnable-{} starting to reset expired jobs
2023-10-08 15:14:04.700 [main] WARN  o.a.s.a.AbstractAutoDeploymentStrategy-Enforced application version not set.
2023-10-08 15:14:05.195 [main] INFO  com.zzyl.config.OssAliyunAutoConfig------------------开始创建OSSClient--------------------
2023-10-08 15:14:05.769 [main] INFO  com.zzyl.config.OssAliyunAutoConfig------------------结束创建OSSClient--------------------
2023-10-08 15:14:07.345 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint(s) beneath base path '/actuator'
2023-10-08 15:14:08.323 [main] INFO  o.s.security.web.DefaultSecurityFilterChain-Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@396eceda, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e300294, org.springframework.security.web.context.SecurityContextPersistenceFilter@7e3cea61, org.springframework.security.web.header.HeaderWriterFilter@2429a26f, org.springframework.security.web.authentication.logout.LogoutFilter@75cc775c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@46a6368f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@550afff7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7890189, org.springframework.security.web.session.SessionManagementFilter@475534d1, org.springframework.security.web.access.ExceptionTranslationFilter@8be5379, org.springframework.security.web.access.intercept.AuthorizationFilter@562b4373]
2023-10-08 15:14:08.430 [main] INFO  com.zzyl.config.XxlJobConfig->>>>>>>>>>> xxl-job config init.
2023-10-08 15:14:11.127 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job register jobhandler success, name:createMothBillAndTaskJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@4a74e70d[class com.zzyl.job.BillJob#createMothBillAndTaskJob]
2023-10-08 15:14:11.127 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job register jobhandler success, name:updateContractStatusJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@513156fd[class com.zzyl.job.ContractJob#updateContractStatusJob]
2023-10-08 15:14:11.127 [main] INFO  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job register jobhandler success, name:reservationStatusToExpired, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@4fd43b14[class com.zzyl.job.ReservationJob#updateReservationStatus]
2023-10-08 15:14:11.267 [main] WARN  com.xxl.job.core.executor.XxlJobExecutor->>>>>>>>>>> xxl-job accessToken is empty. To ensure system security, please set the accessToken.
2023-10-08 15:14:11.349 [Thread-7] INFO  com.xxl.job.core.server.EmbedServer->>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9999
2023-10-08 15:14:12.766 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: TradingVo, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.799 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: RefundRecordVo, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.828 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.829 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.830 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.830 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.831 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.831 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.832 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.884 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.885 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.885 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.886 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.886 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.887 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.887 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:12.899 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: TradingVo, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.103 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.103 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.104 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.104 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.105 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.105 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.106 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.106 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.178 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.193 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.202 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.206 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.215 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: DeptDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.426 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserVo, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.670 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.672 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.676 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.677 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.679 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.680 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.685 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.686 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.706 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.707 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.707 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.708 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.709 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.710 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.711 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.711 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.718 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.725 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: TradingVo, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.814 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.815 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.817 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.826 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.831 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.838 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: PostDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.864 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.865 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.866 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.867 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.867 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.868 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.869 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.870 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.909 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.915 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.919 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:13.944 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: ResourceDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.064 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: roleDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.065 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.066 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.075 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: roleDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.079 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: roleDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.195 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.196 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.197 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: Integer, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.202 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.211 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.216 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserDto, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.224 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: UserVo, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.262 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.263 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.264 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.265 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.266 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.266 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: int, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.267 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.268 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader-Unable to interpret the implicit parameter configuration with dataType: long, dataTypeClass: class java.lang.Void
2023-10-08 15:14:14.293 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Starting...
2023-10-08 15:14:14.505 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Started.
2023-10-08 15:14:14.505 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Starting...
2023-10-08 15:14:14.533 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Started.
2023-10-08 15:14:14.533 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Starting...
2023-10-08 15:14:14.561 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Started.
2023-10-08 15:14:14.561 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Starting...
2023-10-08 15:14:14.568 [main] INFO  org.activiti.spring.AbstractActivitiSmartLifeCycle-Started.
2023-10-08 15:14:14.599 [main] INFO  com.zzyl.service.test.IoTDeviceTest-Started IoTDeviceTest in 25.749 seconds (JVM running for 28.387)
2023-10-08 15:14:15.417 [AmqpProvider :(1):[amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671]] INFO  org.apache.qpid.jms.JmsConnection-Connection ID:0f6a5430-648e-41e4-8a20-193550fad41c:1 connected to server: amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671
2023-10-08 15:14:15.417 [QpidJMS Connection Executor: ID:0f6a5430-648e-41e4-8a20-193550fad41c:1] INFO  com.zzyl.job.AmqpClient-onConnectionEstablished, remoteUri:amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671?amqp.idleTimeout=80000
2023-10-08 15:14:15.791 [AmqpProvider :(2):[amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671]] INFO  org.apache.qpid.jms.JmsConnection-Connection ID:c69714b2-9d8d-4475-9bed-7bd2da562916:1 connected to server: amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671
2023-10-08 15:14:15.791 [QpidJMS Connection Executor: ID:c69714b2-9d8d-4475-9bed-7bd2da562916:1] INFO  com.zzyl.job.AmqpClient-onConnectionEstablished, remoteUri:amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671?amqp.idleTimeout=80000
2023-10-08 15:14:16.171 [AmqpProvider :(3):[amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671]] INFO  org.apache.qpid.jms.JmsConnection-Connection ID:85a89aa0-8602-4f97-be08-f0e353207daa:1 connected to server: amqps://iot-06z00frq8umvkx2.amqp.iothub.aliyuncs.com:5671
